accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
0,0,0.0,2,0,0.0,3,0,3,100.0,0,0.0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0.07,0.1,0,0,100.0,0,1,2,2,2,0,1,0,,0,0.0,0,0,0,0,0,1,0,0,25,0,,0,0,0,0,0.0,0,0,0,0,0,0,0,7.9,0,1,0,0,0,0,0,0,25.0,0.0,0,1,0,0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,0,3,0,3,7.9,1,0,4,0,0,0,Sammie Szmodics,Blackburn Rovers,354782,46,FW
1,4,57.14,16,3,75.0,36,13,45,80.36,1,50.0,1,2,1,0,0,0,9,1,0,1,1,1,2,0,0,4,4,12,0,0,0.92,0.1,2,0,50.0,0,1,2,0,0,0,1,0,,16,59.26,0,0,0,11,0,6,0,2,179,2,,0,0,0,0,0.0,0,0,0,0,27,0,0,7.9,0,1,0,0,0,0,0,0,179.0,0.0,0,2,0,0,1,7,87.5,0,2,1,50.0,6,3,8,7,17,58.62,4,47,16,56,15.8,2,0,102,7,0,0,Jack Clarke,Sunderland,921005,41,MF
0,0,0.0,0,4,40.0,2,26,28,82.35,0,0.0,0,1,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,3,0,0,0,0,0,0,0,0.14,0,0.0,0,2,0,6,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,6,0,0,7.8,0,0,1,2,2,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0.0,10,7,27,34,7.8,0,0,44,0,0,0,Václav Hladký,Burnley,151518,6,GK
3,0,0.0,2,8,29.63,5,16,21,52.5,1,100.0,0,1,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,5,0,0,0,0,0,0,0,1.67,0,0.0,0,1,0,19,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,19,0,1,7.7,0,0,1,3,1,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,3,0,0,1,100.0,27,19,21,40,7.7,0,0,49,1,0,0,Joe Walsh,Queens Park Rangers,990760,1,GK
4,0,0.0,5,9,60.0,18,76,94,87.85,4,66.67,2,2,0,0,0,0,8,0,0,0,1,9,2,0,0,0,1,4,0,0,0.04,0.12,1,0,25.0,0,1,1,1,1,0,1,0,,2,50.0,1,0,0,13,3,1,0,2,180,2,,0,0,0,0,0.0,0,0,0,0,15,1,0,7.55,0,0,0,0,0,0,0,0,180.0,0.0,0,3,1,2,2,0,0.0,0,1,0,0.0,1,6,0,1,6,60.0,15,24,84,107,15.1,4,1,130,1,0,0,Dara O'Shea,Burnley,856719,6,DF
13,15,25.86,120,11,47.83,169,42,196,71.01,9,42.86,12,10,2,0,0,0,30,4,2,3,0,10,10,0,0,9,7,51,1,0,2.52,2.38,8,0,8.0,0,2,4,14,12,2,1,1,,37,48.68,0,0,2,80,9,23,1,10,820,11,,0,0,0,0,0.0,0,0,0,1,172,6,0,7.53,0,1,0,0,0,0,0,0,410.0,0.0,1,14,11,11,11,15,50.0,0,13,7,53.85,23,21,30,58,46,47.42,23,285,49,276,75.3,25,2,495,9,1,0,Mohamed Belloumi,Hull City,1125839,96,
6,48,33.57,438,10,50.0,710,206,868,88.3,0,0.0,10,39,12,0,0,0,130,21,7,20,3,3,39,0,0,30,21,119,1,0,10.3,8.15,13,0,16.67,1,10,22,17,15,2,8,2,,143,56.75,0,0,1,115,12,67,3,30,2605,15,,0,0,0,0,0.0,0,0,0,0,364,37,0,7.45,0,7,0,0,0,0,0,0,260.5,0.0,1,43,17,15,25,70,60.87,0,30,24,80.0,67,19,115,143,143,54.58,20,901,225,983,290.7,60,7,1572,43,3,0,Manor Solomon,Leeds United,862223,34,MF
0,0,0.0,0,0,0.0,0,1,1,25.0,2,66.67,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.1,0,0,100.0,0,1,1,0,0,0,1,0,,0,0.0,0,0,0,3,0,0,0,0,14,0,,0,0,0,0,0.0,0,0,0,0,3,0,0,7.4,0,1,0,0,0,0,0,0,14.0,0.0,0,1,0,0,1,0,0.0,0,0,0,0.0,0,0,0,0,2,66.67,0,2,2,4,7.4,1,0,7,0,0,0,Lyndon Dykes,Queens Park Rangers,846204,1,FW
1,0,0.0,5,9,29.03,7,23,30,57.69,0,0.0,0,2,0,0,0,0,14,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,7,0,0,2,1,1,0,0,0.98,0,0.0,0,0,0,22,0,0,0,1,149,0,,0,0,0,0,0.0,0,0,0,0,22,0,2,7.4,0,0,2,5,4,9,0,3,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,2,0,0,0,0.0,31,22,30,52,14.8,0,1,69,0,0,0,Jordan Archer,Portsmouth,181583,2,GK
16,10,15.87,368,23,31.94,709,530,1229,82.37,63,59.43,43,32,10,0,0,0,114,13,7,9,10,92,32,0,0,23,25,153,0,0,5.39,4.12,46,0,14.29,0,4,14,19,17,2,4,0,,120,52.17,2,0,1,263,37,48,1,30,2620,9,,1,0,0,0,0.0,0,0,0,0,425,11,0,7.39,0,1,0,0,0,0,0,0,655.0,0.0,0,27,1,9,10,14,45.16,0,66,34,51.52,48,47,31,63,183,54.46,72,951,604,1492,236.5,28,4,2289,42,7,0,Junior Firpo,Leeds United,914835,34,DF
