,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Dickson Abiama,ng NGA,MFFW,Kaiserslautern,25,1998,5,2,206,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cadd666a
2,Ragnar Ache,de GER,FW,Kaiserslautern,26,1998,30,24,2038,22.6,18,1,19,18,0,0,1,0,0.79,0.04,0.84,0.79,0.84,Matches,dc38e3bc
3,Sargis Adamyan,am ARM,FWMF,Köln,31,1993,6,0,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,22919e97
4,Sargis Adamyan,am ARM,FW,J. Regensburg,31,1993,16,14,1110,12.3,2,0,2,2,0,0,4,0,0.16,0.00,0.16,0.16,0.16,Matches,22919e97
5,Aremu Afeez,ng NGA,MF,Kaiserslautern,24,1999,12,9,649,7.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,e52845f9
6,Karim Affo,de GER,FW,Düsseldorf,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,126ec0a8
7,Joel Agyekum,de GER,DF,Hamburger SV,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ed7f5cc
8,Alexander Ahl-Holmström,se SWE,FW,Magdeburg,25,1999,8,2,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,276735dd
9,Faride Alidou,de GER,FW,Kaiserslautern,23,2001,12,0,242,2.7,0,1,1,0,0,0,2,0,0.00,0.37,0.37,0.00,0.37,Matches,00f518d8
10,Bastian Allgeier,de GER,MFDF,Ulm,22,2002,24,19,1752,19.5,0,2,2,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,e904b51e
11,Xavier Amaechi,eng ENG,FWMF,Magdeburg,23,2001,25,13,1069,11.9,5,4,9,5,0,0,2,0,0.42,0.34,0.76,0.42,0.76,Matches,1b95524b
12,Etienne Amenyido,tg TOG,FWMF,Preußen Münster,26,1998,23,12,1032,11.5,0,2,2,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17,Matches,3ed57b9e
13,Zaid Amoussou-Tchibara,de GER,FW,Schalke 04,18,2006,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10b20ffb
14,Frederic Ananou,tg TOG,MFDF,J. Regensburg,26,1997,11,9,758,8.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de42994f
15,Hamza Anhari,de GER,MF,Düsseldorf,20,2004,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,447aee71
16,Ilyas Ansah,de GER,FWMF,Paderborn 07,19,2004,33,17,1659,18.4,6,4,10,6,0,0,6,0,0.33,0.22,0.54,0.33,0.54,Matches,6c1248ae
17,Janis Antiste,fr FRA,FWMF,Nürnberg,21,2002,12,9,724,8.0,5,2,7,5,0,0,2,1,0.62,0.25,0.87,0.62,0.87,Matches,38d9ce53
18,Christopher Antwi-Adjei,gh GHA,MF,Schalke 04,30,1994,20,10,958,10.6,1,2,3,1,0,0,3,0,0.09,0.19,0.28,0.09,0.28,Matches,0a3f6cde
19,Shinta Appelkamp,de GER,MF,Düsseldorf,23,2000,27,16,1556,17.3,1,7,8,1,0,0,4,0,0.06,0.40,0.46,0.06,0.46,Matches,fc073770
20,Fisnik Asllani,xk KVX,FW,Elversberg,21,2002,33,31,2769,30.8,18,9,27,18,0,1,5,0,0.59,0.29,0.88,0.59,0.88,Matches,35f67a30
21,Simon Asta,de GER,MFDF,Greuther Fürth,23,2001,27,20,1702,18.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,dfc85b89
