,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Oliver Abildgaard,dk DEN,MF,Pisa,28,1996,24,7,776,8.6,0,1,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches,8f5cdf66
2,Fabio Abiuso,gr GRE,FW,Modena,21,2003,16,7,728,8.1,2,1,3,2,0,0,1,0,0.25,0.12,0.37,0.25,0.37,Matches,7e63b39c
3,Fabio Abiuso,gr GRE,FW,Sampdoria,21,2003,9,0,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7e63b39c
4,Emanuele Adamo,it ITA,MF,Cesena,26,1998,33,22,2067,23.0,2,0,2,2,0,0,11,0,0.09,0.00,0.09,0.09,0.09,Matches,45668d20
5,Marius Adamonis,lt LTU,GK,FC Südtirol,27,1997,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1226f0de
6,Andrea Adorante,it ITA,FW,Juve Stabia,24,2000,33,31,2586,28.7,15,2,17,14,1,1,5,0,0.52,0.07,0.59,0.49,0.56,Matches,7005ac66
7,Davide Adorni,it ITA,DF,Brescia,31,1992,36,36,3220,35.8,3,0,3,3,0,0,11,0,0.08,0.00,0.08,0.08,0.08,Matches,e43cb802
8,Ebenezer Akinsanmiro,ng NGA,MF,Sampdoria,19,2004,35,14,1530,17.0,1,1,2,1,0,0,4,1,0.06,0.06,0.12,0.06,0.12,Matches,3ad34015
9,Thomas Alberti,it ITA,FW,Modena,26,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,43de4047
10,Giorgio Altare,it ITA,DF,Sampdoria,25,1998,14,13,1060,11.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,aa5322d5
11,Francesco Amatucci,it ITA,MF,Cittadella,23,2001,37,31,2808,31.2,1,0,1,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03,Matches,3bb7b5be
12,Lorenzo Amatucci,it ITA,MF,Salernitana,20,2004,36,36,3017,33.5,3,1,4,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,Matches,13b9e2fb
13,Giuseppe Ambrosino,it ITA,FWMF,Frosinone,20,2003,36,27,2209,24.5,5,3,8,5,0,1,3,0,0.20,0.12,0.33,0.20,0.33,Matches,282947c7
14,Nícolas Andrade,br BRA,GK,Pisa,36,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,326d09ef
15,Lorenzo Andrenacci,it ITA,GK,Brescia,29,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe471a89
16,Cristian Andreoni,it ITA,MF,Juve Stabia,32,1992,12,5,500,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3a819038
17,Matteo Angeli,it ITA,DF,Cittadella,21,2002,16,15,1344,14.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,f1474b3d
18,Samuele Angori,it ITA,MF,Pisa,20,2003,37,25,2357,26.2,2,2,4,2,0,0,4,0,0.08,0.08,0.15,0.08,0.15,Matches,9ee1d39e
19,Janis Antiste,fr FRA,MFFW,Sassuolo,21,2002,4,2,169,1.9,1,1,2,1,0,0,2,0,0.53,0.53,1.07,0.53,1.07,Matches,38d9ce53
20,Matias Antonini Lui,br BRA,DF,Catanzaro,26,1998,21,15,1459,16.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,60c8da19
21,Mirko Antonucci,it ITA,MFFW,Cesena,25,1999,35,19,1891,21.0,4,2,6,4,0,0,5,0,0.19,0.10,0.29,0.19,0.29,Matches,91976866
22,Valentin Antov,bg BUL,DF,Cremonese,23,2000,31,27,2411,26.8,1,0,1,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches,8f68aa41
23,Stredair Appuah,fr FRA,FW,Palermo,20,2004,4,0,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42f0113f
24,Mattia Aramu,it ITA,MF,Mantova,29,1995,25,11,1050,11.7,2,3,5,2,0,1,4,0,0.17,0.26,0.43,0.17,0.43,Matches,0847b5a5
25,Alessandro Arena,it ITA,MF,Pisa,23,2000,21,8,749,8.3,2,1,3,1,1,1,0,0,0.24,0.12,0.36,0.12,0.24,Matches,0f1cc688
26,Tommaso Arrigoni,it ITA,MF,FC Südtirol,30,1994,20,18,1604,17.8,1,1,2,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,Matches,45484d23
27,Federico Artioli,it ITA,MF,Mantova,23,2001,12,10,814,9.0,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,aa620b6c
28,Gabriele Artistico,it ITA,FW,Cosenza,22,2002,17,14,1230,13.7,5,1,6,5,0,1,4,0,0.37,0.07,0.44,0.37,0.44,Matches,29812be3
29,Gabriele Artistico,it ITA,FW,Juve Stabia,22,2002,16,0,292,3.2,2,0,2,2,0,0,2,0,0.62,0.00,0.62,0.62,0.62,Matches,29812be3
30,Emil Audero,id IDN,GK,Palermo,27,1997,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,649b01d8
31,Giuseppe Aurelio,it ITA,MF,Spezia,24,2000,25,12,1134,12.6,3,0,3,3,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,3bd2a854
32,Paulo Azzi,br BRA,MFDF,Cremonese,30,1994,16,13,1189,13.2,3,3,6,3,0,0,3,0,0.23,0.23,0.45,0.23,0.45,Matches,967ac202
33,Nedim Bajrami,al ALB,MFFW,Sassuolo,25,1999,2,2,116,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f42d6c13
34,Matteo Baldi,it ITA,DF,Juve Stabia,22,2002,15,2,293,3.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,d2a333ea
