,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Shiloh 't Zand,nl NED,MF,Feyenoord,21,2003,2,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1569ec50
2,Shiloh 't Zand,nl NED,MFFW,Heracles Almelo,21,2003,17,12,1010,11.2,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,1569ec50
3,Uriel van Aalst,,MF,Willem II,,,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba469ddc
4,Patrick van Aanholt,nl NED,DF,Sparta R.,33,1990,21,20,1656,18.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,5f09991f
5,Paxten Aaronson,us USA,MF,Utrecht,20,2003,33,30,2689,29.9,8,4,12,8,0,0,8,0,0.27,0.13,0.40,0.27,0.40,Matches,4cd41883
6,Jayden Addai,nl NED,MFFW,AZ Alkmaar,18,2005,17,3,324,3.6,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,662ffe3d
7,Bobby Adekanye,nl NED,MFFW,Go Ahead Eagles,25,1999,13,10,778,8.6,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,3ed84b2c
8,Aske Adelgaard,dk DEN,DF,Go Ahead Eagles,20,2003,22,14,1224,13.6,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,3397a49f
9,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,24,20,1748,19.4,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,be98fc34
10,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,20,14,1116,12.4,1,0,1,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Matches,69bff230
11,Amar Ahmed,se SWE,MF,Willem II,20,2004,22,5,703,7.8,1,0,1,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,22396615
12,Isaiah Ahmed,cw CUW,DF,Heerenveen,18,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f0f32aff
13,Makan Aiko,fr FRA,FWMF,Fortuna Sittard,23,2001,22,13,1179,13.1,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,ebb157c8
14,Chuba Akpom,eng ENG,FW,Ajax,28,1995,16,9,832,9.2,3,1,4,3,0,0,0,0,0.32,0.11,0.43,0.32,0.43,Matches,e2b384d2
15,Hamdi Akujobi,nl NED,DF,Almere City,24,2000,28,27,2344,26.0,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches,0b524c25
16,Gerald Alders,nl NED,DF,Twente,19,2005,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04d6cc51
17,Hussein Ali,iq IRQ,DF,Heerenveen,22,2002,6,1,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8a919ad
18,Jaydon Amauri Banel,nl NED,FW,Ajax,19,2004,1,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,98e0d76c
19,Jamal Amofa,nl NED,DF,Go Ahead Eagles,25,1998,2,2,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ec3e9827
20,Silas Andersen,dk DEN,MF,Utrecht,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5e6cf52
21,Plamen Andreev,bg BUL,GK,Feyenoord,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3811284a
