,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Rodrigo Abascal,uy URU,DF,Boavista,30,1994,29,29,2599,28.9,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,088ae0d1
2,Nelson Abbey,eng ENG,DF,Rio Ave,20,2003,8,7,635,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,33f40a36
3,Bilal Abdelrahman Zeeni,eg EGY,FW,Estrela,21,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,baa6cdf7
4,Giorgi Aburjania,ge GEO,MF,AVS Futebol,29,1995,9,3,306,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0921a46c
5,Adriano,br BRA,MF,Santa Clara,24,1999,32,31,2630,29.2,0,2,2,0,0,0,8,1,0.00,0.07,0.07,0.00,0.07,Matches,81053aea
6,Lucas Áfrico,br BRA,DF,Farense,29,1995,21,20,1757,19.5,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,8fd083bb
7,Salvador Agra,pt POR,MFDF,Boavista,32,1991,32,31,2731,30.3,1,2,3,1,0,0,9,1,0.03,0.07,0.10,0.03,0.10,Matches,a130741a
8,Brandon Aguilera,cr CRC,MF,Rio Ave,21,2003,25,15,1378,15.3,3,1,4,3,0,0,4,0,0.20,0.07,0.26,0.20,0.26,Matches,938fa024
9,Jorge Aguirre,cu CUB,FW,Gil Vicente FC,24,2000,31,16,1354,15.0,3,2,5,3,0,0,2,1,0.20,0.13,0.33,0.20,0.33,Matches,15e09605
10,Babatunde Akinsola,ng NGA,MF,AVS Futebol,21,2003,30,11,1170,13.0,2,1,3,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23,Matches,733aab44
