,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Tony Abad,es ESP,DFMF,Huesca,27,1996,39,14,1787,19.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,8fa6026e
2,Haitam Abaida,ma MAR,FW,Málaga,22,2002,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95ca716a
3,Amir Abedzadeh,ir IRN,GK,Castellón,31,1993,3,3,263,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,375d09c9
4,Álvaro Aceves,es ESP,GK,Eldense,21,2003,2,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be6faae0
5,Adilson,pt POR,FWMF,Córdoba,27,1997,22,16,1377,15.3,3,2,5,3,0,0,1,0,0.20,0.13,0.33,0.20,0.33,Matches,58e85e92
6,David Affengruber,at AUT,DF,Elche,23,2001,40,35,3203,35.6,0,2,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,4b00cd47
7,Martin Agirregabiria,es ESP,DF,Cartagena,28,1996,29,26,2286,25.4,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches,355c883a
8,Marc Aguado,es ESP,MF,Elche,24,2000,13,6,538,6.0,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,5a705641
9,Marc Aguado,es ESP,MF,Zaragoza,24,2000,17,15,1025,11.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5a705641
10,Lalo Aguilar,es ESP,DF,Albacete,22,2002,33,31,2683,29.8,0,1,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,Matches,dfbd5cb9
11,Lucas Ahijado,es ESP,DF,Oviedo,29,1995,16,8,781,8.7,1,2,3,1,0,0,3,0,0.12,0.23,0.35,0.12,0.35,Matches,7244b474
12,Ager Aketxe,es ESP,MFFW,Zaragoza,30,1993,36,22,1884,20.9,2,3,5,2,0,1,4,0,0.10,0.14,0.24,0.10,0.24,Matches,c5eaff5c
13,Tomás Alarcón,cl CHI,DFMF,Cádiz,25,1999,3,0,85,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,99ea2ddd
14,Albarrán,es ESP,DF,Córdoba,30,1994,36,33,2953,32.8,4,2,6,4,0,0,11,0,0.12,0.06,0.18,0.12,0.18,Matches,fdaaeda4
15,Raúl Alcaina,es ESP,MF,Dep. La Coruña,24,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b88fa9c6
16,Pedro Alcalá,es ESP,DF,Cartagena,35,1989,30,29,2614,29.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,ba71d071
17,Rubén Alcaraz,es ESP,MF,Cádiz,33,1991,29,25,2122,23.6,3,1,4,1,2,3,10,0,0.13,0.04,0.17,0.04,0.08,Matches,036bba5f
18,Aldasoro,es ESP,MF,Racing Sant,25,1999,39,36,2885,32.1,2,3,5,2,0,0,11,0,0.06,0.09,0.16,0.06,0.16,Matches,4405a57e
19,Iker Alday,es ESP,DF,Eibar,21,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13fef0ed
