accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
2,0,0.0,2,6,85.71,2,25,27,96.43,1,100.0,0,1,1,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0.05,,0,0,0.0,2,0,1,1,1,0,0,0,0.47,0,0.0,0,1,0,1,0,2,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,1,0,1,7.9,0,0,0,3,0,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,2,0,0,1,100.0,7,3,25,28,7.9,0,0,38,0,0,0,Arnau Tenas,Paris Saint-Germain,908714,1644,GK
2,1,100.0,5,3,33.33,19,27,45,83.33,4,66.67,2,1,0,0,0,0,4,1,0,0,1,4,1,0,0,1,0,3,0,0,0.03,,0,0,0.0,0,0,0,0,0,0,0,0,,2,66.67,0,0,0,9,2,1,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,10,0,0,7.8,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,1,50.0,1,5,0,1,6,66.67,9,25,30,54,7.8,0,0,70,0,0,0,Logan Costa,Toulouse,911853,1681,DF
40,17,21.25,690,39,66.1,1198,552,1733,90.88,9,40.91,13,25,6,0,0,0,136,12,4,9,7,14,25,0,0,15,28,93,0,3,5.32,2.98,19,0,12.5,0,4,10,20,14,6,4,0,,99,55.31,0,0,2,174,31,51,0,24,2067,8,,0,1,0,0,0.0,0,0,0,0,319,18,0,7.76,0,4,0,0,0,0,0,0,516.75,0.0,5,18,14,10,13,26,55.32,0,48,36,75.0,50,55,47,80,108,53.73,59,1376,611,1907,194.1,32,7,2461,25,4,0,Achraf Hakimi,Paris Saint-Germain,814594,1644,DF
2,4,28.57,16,2,100.0,49,24,69,88.46,1,14.29,6,2,0,0,0,0,5,1,0,0,2,6,2,0,0,0,2,9,0,0,0.18,,1,0,0.0,0,0,0,0,0,0,0,0,,8,72.73,0,0,0,9,2,4,0,2,180,0,,0,0,0,0,0.0,0,0,0,0,20,1,0,7.75,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,5,5,100.0,4,2,0,14,9,50.0,2,65,27,78,15.5,0,1,125,3,0,0,Ismail Jakobs,AS Monaco,897291,1653,DF
26,28,35.0,455,35,71.43,681,160,813,83.21,4,40.0,6,29,6,0,0,0,39,13,17,19,1,1,29,0,0,32,8,105,0,1,7.18,16.61,8,0,21.65,0,21,27,16,12,4,20,1,,67,40.36,2,0,2,164,9,63,10,20,1736,9,,0,0,1,0,100.0,0,1,0,1,353,11,0,7.75,0,9,0,0,0,0,0,0,82.67,0.0,0,72,25,27,51,42,45.16,0,11,5,45.45,63,43,93,80,71,40.34,49,875,182,977,224.7,97,7,1408,14,2,0,Ousmane Dembélé,Paris Saint-Germain,818244,1644,FW
1,0,0.0,14,3,75.0,23,13,36,85.71,2,50.0,2,1,0,0,0,0,4,0,0,0,0,1,1,0,0,1,2,5,0,0,0.04,0.16,0,1,50.0,0,1,1,0,0,0,0,1,,2,40.0,0,0,0,6,2,0,0,1,81,0,,0,0,0,0,0.0,0,0,0,0,14,0,0,7.7,0,1,0,0,0,0,0,0,81.0,100.0,1,1,1,1,1,1,100.0,0,1,0,0.0,0,3,1,6,4,44.44,4,34,14,42,7.7,2,0,59,0,0,0,Benjamin Bourigeaud,Stade Rennais,324399,1658,MF
48,28,23.73,472,40,70.18,740,311,1023,84.13,4,33.33,8,30,11,0,0,0,83,22,1,15,1,5,30,0,0,43,22,130,0,0,11.73,5.01,16,0,17.78,0,8,19,28,24,4,8,0,,97,44.29,1,0,2,193,7,75,5,22,2053,3,,0,0,0,0,0.0,0,0,0,0,436,14,0,7.6,0,2,0,0,0,0,0,0,256.63,0.0,3,33,12,11,19,48,52.75,0,15,12,80.0,75,80,91,118,101,43.72,57,995,339,1216,227.9,45,7,1713,34,3,0,Rayan Cherki,Olympique Lyonnais,979128,1649,MF
73,28,25.45,433,63,61.76,795,287,1054,83.25,8,53.33,7,34,5,0,0,2,88,12,10,30,1,5,34,0,0,44,23,163,1,1,7.84,16.34,24,0,17.5,0,21,26,41,36,5,18,3,,126,44.68,1,0,1,212,12,50,7,32,2814,2,,0,3,9,0,77.78,0,7,0,2,485,25,0,7.56,0,13,0,0,0,0,0,0,134.0,0.0,3,74,46,34,56,54,45.0,0,35,18,51.43,47,136,120,110,134,45.12,102,1047,329,1266,256.9,120,9,1888,37,3,0,Mason Greenwood,Olympique de Marseille,942116,1641,MF
156,5,23.81,644,150,83.33,1411,815,2221,93.75,1,16.67,5,29,1,0,0,0,144,4,2,5,5,18,29,0,0,19,23,66,0,2,3.77,3.41,9,1,18.52,0,5,6,22,18,4,4,1,,82,57.34,0,0,1,148,14,27,1,20,2035,0,,0,0,2,0,100.0,0,2,0,0,227,12,0,7.47,0,4,0,0,0,0,0,0,407.0,50.0,2,10,17,8,14,27,72.97,0,43,23,53.49,27,209,37,21,83,55.7,180,1541,849,2369,216.6,27,4,2659,12,1,0,Vitinha,Paris Saint-Germain,902029,1644,MF
15,10,30.3,221,7,63.64,366,97,453,89.35,3,37.5,5,14,3,0,0,0,27,9,5,8,2,3,14,0,0,25,10,76,0,0,3.81,3.28,12,0,11.76,0,4,7,10,8,2,3,1,,62,46.62,0,0,1,54,2,26,2,11,920,0,,0,1,0,0,0.0,0,0,0,0,149,8,0,7.46,0,2,0,0,0,0,0,0,230.0,0.0,2,17,17,11,15,25,50.0,0,19,13,68.42,25,24,50,33,65,46.1,11,440,100,507,104.5,34,3,740,18,0,0,Khvicha Kvaratskhelia,Paris Saint-Germain,889259,1644,FW
