accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
78,83,35.78,513,78,47.56,871,339,1127,77.83,62,54.39,52,34,11,0,1,0,152,16,7,25,8,42,34,0,0,24,18,129,0,0,,,25,1,13.98,0,13,24,55,53,2,8,5,,131,62.98,0,0,8,321,15,78,1,34,3060,5,,0,0,3,0,66.67,0,2,0,0,559,25,0,7.75,0,12,0,0,0,0,0,0,235.38,7.69,13,44,49,34,34,13,44.83,0,63,43,68.25,78,140,29,232,193,59.94,164,1271,409,1448,263.4,93,10,2146,57,3,0,Marvin Wanitzek,Karlsruher SC,270885,2553,MF
28,30,24.19,145,12,60.0,266,94,330,74.83,18,58.06,13,18,1,0,0,0,51,9,6,15,3,8,18,0,0,16,10,70,0,0,,,13,0,17.46,0,11,12,19,16,3,11,0,,37,39.36,1,0,1,111,3,39,1,14,1371,17,,0,2,0,0,0.0,0,0,0,0,305,15,0,7.64,0,9,0,0,0,0,0,0,124.64,0.0,3,45,18,23,25,20,52.63,0,11,8,72.73,37,47,38,124,55,44.0,20,453,112,441,137.6,63,3,874,6,0,0,Fabian Reese,Hertha BSC,817968,2528,FW
18,11,34.38,38,21,65.63,89,56,134,82.21,4,66.67,2,4,0,0,0,0,23,0,0,0,0,1,4,0,0,4,1,14,0,0,,,7,0,0.0,0,0,0,10,7,3,0,0,,18,60.0,0,0,0,29,4,12,0,4,360,0,,0,0,0,0,0.0,0,0,0,0,56,3,0,7.58,0,0,0,0,0,0,0,0,0.0,0.0,1,0,4,2,2,2,100.0,0,13,9,69.23,12,31,2,32,22,61.11,32,134,61,163,30.3,4,2,248,3,0,0,Paul Will,Darmstadt 98,939693,2576,MF
5,1,20.0,100,10,71.43,155,84,238,76.04,26,41.27,37,17,3,0,0,1,41,6,4,17,0,12,17,0,0,26,14,111,0,1,,,17,0,21.43,0,12,15,30,29,1,12,0,,62,45.59,2,0,1,75,8,16,4,17,1463,7,,0,0,1,0,0.0,0,0,0,1,166,14,0,7.56,0,6,0,0,0,0,0,0,121.92,0.0,0,47,9,21,18,33,66.0,0,15,12,80.0,16,10,50,5,88,44.22,14,221,97,313,128.6,56,3,593,14,4,0,Budu Zivzivadze,Karlsruher SC,149728,2553,FW
55,65,36.52,358,79,41.15,741,838,1514,84.25,32,50.0,32,30,11,0,0,0,144,15,0,6,7,90,30,0,0,16,37,131,0,0,,,32,0,4.17,0,1,12,34,31,3,0,1,,142,58.92,0,0,1,283,29,71,1,30,2667,0,,0,0,0,2,0.0,0,0,0,0,495,5,0,7.52,0,0,0,0,0,0,0,0,2667.0,0.0,3,9,15,12,6,20,57.14,0,83,54,65.06,71,126,35,178,174,57.05,192,1053,922,1797,225.7,24,3,2689,41,6,0,Miro Muheim,Hamburger SV,798303,2676,DF
16,58,31.18,309,9,52.94,538,202,682,85.04,1,10.0,9,32,12,0,0,0,124,21,0,11,3,9,32,0,0,29,10,101,0,2,,,11,2,15.25,0,9,21,31,28,3,6,3,,117,55.98,0,0,2,120,3,68,0,27,2402,8,,0,1,0,0,0.0,0,0,0,1,372,20,0,7.51,0,9,0,0,0,0,0,0,266.89,40.0,5,35,24,21,27,80,65.57,0,11,7,63.64,67,27,122,186,118,53.88,17,765,223,802,240.4,59,4,1382,27,3,0,Jean-Luc Dompé,Hamburger SV,789192,2676,FW
45,22,28.21,309,45,48.91,506,179,663,77.63,10,32.26,21,24,6,0,0,0,72,16,0,7,1,10,24,0,0,26,9,95,0,0,,,13,0,16.28,0,7,13,38,34,4,5,2,,74,50.0,1,0,0,191,3,56,0,22,1774,2,,0,0,0,0,0.0,0,0,0,0,358,11,0,7.51,1,6,0,0,0,0,0,0,253.43,0.0,6,17,26,20,16,25,47.17,0,9,8,88.89,56,106,53,78,84,46.93,92,739,193,854,180.2,43,6,1240,41,6,1,Barış Atik,1. FC Magdeburg,229858,2591,FW
3,0,0.0,1,23,30.26,13,56,69,56.56,1,50.0,1,4,0,0,0,0,26,0,0,0,1,8,4,1,0,0,0,1,1,0,,,0,0,0.0,21,0,0,5,5,0,0,0,,1,100.0,0,0,1,53,0,0,0,4,315,0,,0,0,0,0,0.0,1,0,1,0,55,0,3,7.43,0,0,2,12,4,16,0,4,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,9,0,0,2,66.67,76,57,65,122,29.7,0,1,165,1,0,0,Loris Karius,FC Schalke 04,174135,2530,GK
57,97,31.19,271,83,51.88,561,450,914,79.34,18,52.94,16,32,10,0,0,0,127,25,2,14,8,63,32,0,0,15,12,60,0,1,,,5,0,6.67,0,3,13,41,36,5,3,0,,67,60.36,0,0,2,238,26,83,3,31,2814,2,,0,0,0,0,0.0,0,0,0,0,563,11,0,7.42,0,0,0,0,0,0,0,0,938.0,0.0,4,24,21,16,15,16,57.14,0,41,24,58.54,83,112,28,311,85,58.62,160,944,519,1152,237.5,45,4,2110,10,1,0,Aaron Zehnter,SC Paderborn 07,1127788,2561,MF
60,74,38.74,385,66,63.46,831,635,1392,87.77,21,48.84,22,33,5,0,0,0,182,10,1,12,10,46,33,0,0,41,34,156,0,2,,,41,1,6.06,0,2,7,32,29,3,1,1,,128,48.85,0,0,0,194,32,75,1,32,2883,2,,0,0,0,0,0.0,0,0,0,0,429,17,0,7.4,0,1,0,0,0,0,0,0,1441.5,16.67,6,9,24,13,8,18,47.37,0,71,46,64.79,75,103,38,191,149,48.85,104,1092,685,1586,244.3,33,5,2258,39,7,0,Enzo Leopold,Hannover 96,1009161,2541,MF
