accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
2,0,0.0,5,2,50.0,9,8,17,70.83,1,25.0,3,1,0,0,0,0,4,0,0,0,0,0,1,0,0,1,2,6,0,0,0.01,0.22,0,1,50.0,0,1,1,1,0,1,0,1,,3,50.0,0,0,0,7,0,0,0,1,87,0,0,0,0,0,0,0.0,0,0,0,0,13,2,0,8.0,0,1,0,0,0,0,0,0,87.0,100.0,1,0,2,1,1,1,100.0,0,1,0,0.0,0,5,1,1,4,40.0,4,16,8,24,8.0,2,0,36,1,0,0,Armin Gigović,Holstein Kiel,988893,2573
4,0,0.0,2,13,34.21,6,47,53,67.95,3,100.0,0,2,0,0,0,0,25,0,0,0,1,5,2,0,0,0,1,1,0,0,0.0,,0,0,0.0,5,0,0,1,1,0,0,0,1.64,1,50.0,0,3,0,25,0,0,0,2,180,0,0,0,0,0,0,0.0,0,0,0,0,25,0,3,7.95,0,0,3,2,4,6,0,2,0.0,0.0,0,0,0,0,0,0,0.0,2,1,1,100.0,0,5,0,0,4,80.0,38,23,55,78,15.9,0,1,104,0,0,0,Marcel Lotka,Fortuna Düsseldorf,997113,2588
1,0,0.0,5,0,0.0,8,5,13,65.0,1,25.0,3,2,0,0,0,0,4,0,2,0,1,1,2,0,0,2,0,8,0,0,0.24,1.09,1,0,25.0,0,1,1,2,2,0,1,0,,6,54.55,0,0,0,7,0,3,0,2,135,1,0,0,0,0,0,0.0,0,0,0,0,16,0,0,7.8,0,1,0,0,0,0,0,0,135.0,0.0,0,4,0,1,3,1,33.33,0,3,0,0.0,3,1,3,1,7,46.67,1,15,5,20,15.6,4,0,46,2,0,0,Moritz Broschinski,VfL Bochum 1848,924205,2542
3,0,0.0,4,15,39.47,11,19,30,56.6,2,100.0,0,2,0,0,0,0,21,0,0,0,0,3,2,0,0,0,0,0,0,0,0.01,,0,0,0.0,13,0,0,2,2,0,0,0,2.09,1,100.0,0,5,0,23,0,0,0,1,108,0,0,0,0,0,0,0.0,0,0,0,0,24,0,1,7.55,0,0,2,9,1,10,0,2,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,4,0,0,3,100.0,38,33,20,53,15.1,0,0,81,1,0,0,Leo Oppermann,Arminia Bielefeld,995669,2540
16,1,25.0,26,15,46.88,58,122,180,86.54,5,71.43,2,4,0,0,0,0,26,3,0,1,1,15,4,0,0,3,4,14,0,0,0.51,0.06,4,0,33.33,6,1,1,4,3,1,0,1,,20,62.5,0,0,0,28,6,3,0,4,359,0,2,0,0,0,0,0.0,0,0,0,0,44,0,0,7.5,0,1,0,0,0,0,0,0,359.0,0.0,0,0,3,1,1,6,75.0,0,10,7,70.0,3,25,8,4,25,64.1,32,76,132,208,30.0,3,1,290,4,1,0,Marcel Hoffmeier,SC Paderborn 07,930702,2561
2,0,0.0,0,10,58.82,5,27,32,82.05,0,0.0,0,1,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,10,0,0,1,1,0,0,0,-0.11,0,0.0,0,0,0,7,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,7,0,1,7.5,0,0,0,1,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,4,0,0,0,0.0,17,10,29,39,7.5,0,0,49,0,0,0,Simon Simoni,1. FC Kaiserslautern,1006116,2675
3,0,0.0,2,9,75.0,3,28,31,91.18,0,0.0,0,1,0,0,0,0,11,0,0,0,1,3,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,7,0,0,0,0,0,0,0,0.15,1,100.0,0,0,0,3,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,3,0,1,7.5,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,1,100.0,1,0,0,0.0,0,3,1,0,1,100.0,12,5,29,34,7.5,0,0,47,0,0,0,Christian Mathenia,1. FC Nürnberg,142096,2523
25,0,0.0,94,287,43.62,211,438,649,63.32,5,100.0,0,34,0,0,0,0,253,0,0,0,8,27,34,0,0,0,2,2,1,0,0.16,,0,0,0.0,242,0,0,47,44,3,0,0,9.63,6,75.0,0,17,0,376,0,4,0,34,3060,0,0,0,0,0,0,0.0,6,0,2,0,380,0,11,7.46,0,0,7,78,33,111,2,20,0.0,0.0,0,0,0,0,0,0,0.0,6,0,0,0.0,4,42,0,0,11,84.62,658,542,483,1025,253.5,0,6,1298,7,1,0,Timo Horn,VfL Bochum 1848,97923,2542
4,2,25.0,57,5,83.33,96,21,117,63.59,49,59.76,33,11,3,0,0,0,15,4,4,5,0,10,11,0,1,4,2,47,0,0,2.01,4.0,8,0,17.14,0,6,9,6,5,1,5,1,,19,57.58,1,0,0,67,0,16,0,6,599,4,0,0,0,0,0,0.0,0,0,0,0,97,7,0,7.4,1,5,0,0,0,0,0,0,99.83,0.0,0,30,5,14,16,9,81.82,0,2,2,100.0,16,12,11,8,68,59.13,6,160,24,184,81.4,35,4,301,8,0,0,Edin Džeko,FC Schalke 04,14990,2530
4,0,0.0,0,12,34.29,6,39,45,66.18,3,100.0,0,1,0,0,0,0,9,0,0,0,1,2,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,2,0,0,0,0,0,0,0,0.5,1,100.0,0,3,0,23,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,23,0,2,7.4,0,0,0,4,1,5,0,3,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,12,0,0,4,100.0,35,24,44,68,7.4,0,0,82,1,0,0,Daniel Mesenhöler,SG Dynamo Dresden,253945,2595
