accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
0,0,0.0,1,11,42.31,9,8,17,53.13,1,50.0,1,1,0,0,0,0,11,0,0,0,1,2,1,0,0,0,0,1,0,0,0.0,,0,0,0.0,10,0,0,0,0,0,0,0,1.71,0,0.0,0,1,0,15,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,17,0,2,9.7,0,0,1,4,2,6,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,50.0,26,24,8,32,9.7,0,1,46,0,0,0,Matheo Raab,1. FC Union Berlin,842718,2547
1,0,0.0,1,9,34.62,6,28,34,66.67,0,0.0,0,1,0,0,0,0,10,0,0,0,0,3,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,8,0,0,1,1,0,0,0,1.44,1,100.0,0,0,0,17,0,0,0,1,90,0,0,0,0,0,0,0.0,1,0,1,0,17,0,2,8.8,0,0,0,5,2,7,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,1,100.0,26,19,32,51,8.8,0,0,68,1,0,0,Sander Tangvik,Hamburger SV,1030355,2676
44,31,21.09,749,28,60.87,1076,234,1310,84.14,8,38.1,13,32,19,0,0,0,100,27,15,30,8,9,32,0,0,31,28,175,0,1,17.23,11.46,32,0,14.85,0,15,34,25,22,3,11,4,,147,47.57,0,0,6,247,13,81,12,23,2317,7,1,0,2,0,0,0.0,0,0,0,2,573,29,0,7.87,0,3,0,0,0,0,0,0,154.47,0.0,5,57,44,21,50,65,47.1,0,24,10,41.67,79,83,138,147,155,46.97,46,1293,264,1557,251.9,101,13,2335,58,8,0,Michael Olise,FC Bayern München,978838,2672
68,1,8.33,269,78,70.91,398,191,589,81.02,43,61.43,27,31,5,1,0,0,77,18,18,28,4,33,31,0,0,32,14,113,1,0,4.27,26.87,25,1,30.25,0,36,41,26,23,3,30,6,,83,49.11,3,0,4,138,8,40,6,25,2382,20,6,0,0,11,1,90.91,0,10,0,2,258,15,0,7.84,0,27,0,0,0,0,0,0,66.17,25.0,4,95,24,24,67,32,62.75,0,19,13,68.42,40,107,51,12,126,52.72,110,515,212,727,243.0,119,12,1163,32,1,0,Harry Kane,FC Bayern München,108579,2672
4,0,0.0,9,31,49.21,19,64,83,71.55,1,100.0,0,3,0,0,0,0,29,0,0,0,0,4,3,0,0,0,2,2,0,0,0.01,,0,0,0.0,26,0,0,5,5,0,0,0,0.71,3,60.0,0,0,0,33,0,0,0,3,270,0,0,0,0,0,0,0.0,0,0,0,0,35,0,1,7.77,0,0,3,10,5,15,0,1,0.0,0.0,0,0,0,0,0,0,0.0,3,1,1,100.0,0,9,0,0,4,66.67,63,45,71,116,23.3,0,0,154,2,0,0,Frank Feller,1. FC Heidenheim,1083359,5885
15,7,16.28,407,28,73.68,625,271,896,83.97,5,14.71,29,33,8,0,0,0,148,17,6,12,3,9,33,0,0,62,18,206,0,1,10.12,7.14,19,0,22.64,0,12,20,36,35,1,10,2,,181,50.56,0,0,0,171,16,56,7,28,2476,7,1,0,0,0,0,0.0,0,0,0,0,451,27,0,7.72,0,5,0,0,0,0,0,0,206.33,0.0,0,40,13,15,26,118,59.9,0,29,19,65.52,56,20,197,43,186,47.45,38,767,300,1067,254.7,53,10,1758,34,2,0,Yan Diomande,RB Leipzig,2087085,36360
139,28,23.33,727,160,71.11,1548,900,2448,92.38,7,36.84,12,29,8,0,0,0,117,16,1,6,8,18,29,0,0,14,23,63,0,4,10.24,2.65,8,0,7.14,0,2,10,25,22,3,2,0,,64,55.65,0,0,3,202,25,58,2,24,2280,0,6,0,2,0,1,0.0,0,0,0,0,354,8,0,7.71,0,0,0,0,0,0,0,0,1140.0,0.0,0,12,16,12,10,11,61.11,0,32,25,78.13,56,229,18,120,71,52.99,225,1721,929,2650,223.5,28,9,3071,21,4,0,Joshua Kimmich,FC Bayern München,259117,2672
149,6,18.75,351,187,61.72,810,942,1752,88.26,66,62.86,39,28,1,0,0,0,142,1,2,11,11,127,28,0,0,15,8,97,0,1,2.69,3.72,30,0,15.63,79,5,6,29,27,2,5,0,,92,61.33,3,0,2,233,27,12,2,28,2520,1,12,0,0,0,1,0.0,0,0,0,1,332,6,0,7.67,0,0,0,0,0,0,0,0,504.0,0.0,0,25,7,12,9,15,65.22,0,50,37,74.0,12,246,23,32,158,61.96,303,975,1010,1985,214.8,32,8,2497,27,8,0,Nico Schlotterbeck,Borussia Dortmund,940871,2673
0,0,0.0,0,5,20.0,3,15,18,47.37,0,0.0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,8,0,0,1,1,0,0,0,0.98,1,100.0,0,0,0,20,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,20,0,0,7.6,0,0,0,5,1,6,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,1,100.0,25,17,21,38,7.6,0,0,48,1,1,0,Sven Ulreich,FC Bayern München,26768,2672
3,0,0.0,1,18,40.91,7,76,83,75.45,2,100.0,0,2,0,0,0,0,22,0,0,0,1,4,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,10,0,0,4,4,0,0,0,0.72,1,100.0,0,1,0,27,0,0,0,2,180,0,0,0,0,0,0,0.0,1,0,0,0,27,0,2,7.6,0,0,3,7,4,11,0,1,0.0,0.0,0,0,0,0,0,1,100.0,3,0,0,0.0,0,10,1,0,3,100.0,44,19,91,110,15.2,0,0,140,0,0,0,Karl Hein,SV Werder Bremen,991591,2534
