accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
119,96,38.4,534,139,56.73,1112,642,1658,85.11,26,50.98,25,34,9,0,0,1,214,18,3,23,12,52,34,0,0,35,29,131,0,0,,,37,2,10.45,0,7,16,30,24,6,4,3,,221,67.58,1,0,3,290,20,83,0,32,2865,0,,0,3,4,0,75.0,0,3,0,0,525,29,0,7.89,0,6,0,0,0,0,0,0,409.29,7.14,28,16,51,24,20,31,77.5,0,60,37,61.67,80,202,40,250,247,65.34,245,1508,690,1948,268.2,67,14,2741,132,6,0,Salvatore Esposito,Spezia,931267,2735,MF
64,36,34.29,345,72,54.55,628,233,825,77.54,8,29.63,19,29,13,0,0,0,96,16,2,26,4,22,29,0,0,33,25,144,0,1,,,44,0,7.89,0,6,19,24,22,2,6,0,,104,45.41,0,0,1,239,20,73,5,25,2262,12,,0,3,1,0,100.0,0,1,0,1,428,11,0,7.59,0,1,0,0,0,0,0,0,377.0,0.0,11,32,44,27,23,19,43.18,0,34,24,70.59,70,127,44,105,112,43.75,132,893,276,1064,220.0,76,10,1614,51,4,0,Domenico Berardi,Sassuolo,253367,2793,MF
1,0,0.0,2,5,50.0,3,14,17,77.27,1,100.0,0,1,0,0,0,0,7,0,0,0,1,1,1,0,0,0,0,0,0,0,,,0,0,0.0,6,0,0,0,0,0,0,0,,1,100.0,0,3,0,5,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,5,0,1,7.5,0,0,0,2,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,2,100.0,10,7,15,22,7.5,0,0,34,1,0,0,Lorenzo Andrenacci,Brescia,782636,2691,GK
3,0,0.0,5,38,27.14,23,117,140,57.85,5,100.0,0,9,0,0,0,0,67,0,0,0,1,13,9,0,0,0,1,1,0,1,,,0,0,0.0,48,0,0,8,7,1,0,0,,0,0.0,0,12,0,102,0,0,0,9,720,0,,0,0,0,0,0.0,0,0,0,0,105,0,5,7.49,0,0,2,28,12,40,0,12,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,9,0,0,5,83.33,140,84,158,242,67.4,0,3,345,0,0,0,Simone Ghidotti,Sampdoria,865538,2711,GK
112,69,27.6,449,104,63.03,778,337,1046,79.06,13,30.23,30,35,10,0,0,0,168,18,3,13,2,9,35,0,1,65,24,198,0,0,,,40,0,14.06,0,9,19,46,38,8,7,2,,119,41.46,0,0,4,277,10,89,8,34,2957,6,,0,2,5,0,100.0,0,5,0,2,658,26,0,7.43,1,1,0,0,0,0,0,0,328.56,0.0,6,33,31,24,27,29,39.73,0,40,18,45.0,87,193,73,250,132,40.0,165,1200,373,1323,260.2,64,7,2072,51,11,0,Antonio Palumbo,Modena,587708,2706,MF
0,0,0.0,0,1,33.33,0,18,18,90.0,0,0.0,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0.0,4,0,0,1,1,0,0,0,,0,0.0,0,2,0,2,0,0,0,1,90,0,,0,0,0,0,0.0,1,0,0,0,2,0,0,7.4,0,0,0,1,3,4,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,3,0,20,20,7.4,0,0,38,0,0,0,Alessandro Russo,Sassuolo,918862,2793,GK
86,0,0.0,21,206,47.91,84,526,610,72.62,6,85.71,1,24,0,0,0,0,182,0,0,0,12,14,24,0,0,1,1,3,2,0,,,0,0,0.0,135,0,0,25,24,1,0,0,,4,66.67,0,24,0,230,0,4,0,24,2093,0,,0,0,0,0,0.0,6,0,1,0,234,0,1,7.37,0,0,11,49,33,83,0,18,0.0,0.0,0,0,0,0,0,1,100.0,10,0,0,0.0,4,110,1,0,10,76.92,430,238,602,840,176.9,0,3,1057,4,0,0,Marco Bleve,Carrarese,307036,2745,GK
10,0,0.0,18,38,47.5,68,283,351,77.48,93,76.86,28,14,0,0,0,0,21,0,0,2,4,105,14,0,0,1,8,56,1,1,,,22,0,12.5,25,2,2,13,13,0,2,0,,30,51.72,1,0,0,102,27,1,0,12,1073,0,,0,0,0,0,0.0,0,0,0,0,111,0,0,7.36,0,1,0,0,0,0,0,0,536.5,0.0,0,15,1,7,7,0,0.0,0,26,15,57.69,1,18,0,2,123,68.72,80,138,317,453,103.1,16,2,682,4,1,0,Lorenco Šimić,Bari,791203,2712,DF
44,3,10.0,354,69,69.7,556,210,763,81.6,30,60.0,20,27,2,0,0,0,118,6,6,19,1,19,27,0,0,43,17,145,0,1,,,35,0,12.16,0,9,11,22,21,1,8,1,,125,50.0,2,0,2,172,8,32,6,23,1867,1,,0,1,1,1,100.0,0,1,0,0,324,21,0,7.36,0,1,0,0,0,0,0,0,207.44,0.0,2,43,31,34,21,28,43.08,0,31,24,77.42,31,86,65,30,155,51.67,99,724,241,935,198.8,74,6,1398,66,5,0,Franco Vázquez,Cremonese,215246,2761,FW
18,3,30.0,303,12,52.17,425,72,494,68.9,151,53.36,132,35,2,0,1,0,54,6,19,25,3,25,35,0,0,38,10,237,0,0,,,49,0,14.53,0,17,19,27,23,4,16,1,,94,47.24,7,0,10,223,1,47,3,33,2781,6,,0,0,2,0,50.0,0,1,0,0,399,23,0,7.35,0,7,0,0,0,0,0,0,163.59,0.0,2,90,27,54,38,11,37.93,0,13,7,53.85,47,43,29,10,245,50.83,23,639,88,717,257.1,117,5,1223,71,7,0,Pio Esposito,Spezia,1156616,2735,
79,49,33.79,285,117,60.94,652,525,1128,85.71,44,68.75,20,32,1,0,0,0,141,7,0,10,6,79,32,0,0,13,33,101,0,1,,,31,2,9.76,0,4,5,36,31,5,0,4,,97,54.49,0,0,1,188,40,49,0,31,2704,0,,0,1,0,2,0.0,0,0,0,0,326,8,0,7.32,0,4,0,0,0,0,0,0,676.0,20.0,10,4,37,15,16,5,45.45,0,50,38,76.0,48,128,11,145,141,58.26,192,884,577,1316,234.3,41,4,1878,50,8,0,Matthias Verreth,Brescia,794992,2691,MF
7,1,33.33,57,5,50.0,88,52,139,64.95,34,47.89,37,14,3,0,0,1,26,1,4,7,2,11,14,0,0,10,2,61,0,0,,,9,0,23.08,0,9,12,17,14,3,9,0,,11,31.43,3,0,1,75,2,14,1,14,1208,4,,0,0,3,0,66.67,0,2,0,0,117,6,0,7.3,0,5,0,0,0,0,0,0,134.22,0.0,0,36,3,14,18,2,28.57,0,4,2,50.0,14,14,7,3,45,42.45,10,153,64,214,102.2,39,3,359,5,0,0,Joel Pohjanpalo,Palermo,137155,2715,FW
25,9,16.36,312,16,61.54,455,101,547,80.32,13,36.11,23,33,5,1,0,0,67,6,4,16,3,8,33,0,0,49,8,160,0,0,,,34,1,22.22,0,18,23,22,20,2,14,4,,89,39.38,0,0,1,134,13,38,8,29,2383,11,,0,1,3,0,66.67,0,2,0,1,354,10,0,7.3,0,10,0,0,0,0,0,0,132.39,20.0,5,55,26,22,43,31,38.75,0,21,9,42.86,37,45,80,55,102,38.93,26,618,118,681,240.8,81,7,1182,37,8,0,Armand Laurienté,Sassuolo,932643,2793,MF
