accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
1,0,0.0,0,11,44.0,5,23,28,66.67,0,0.0,0,1,0,0,0,0,13,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,9,0,0,1,1,0,0,0,0.25,0,0.0,0,2,0,14,0,0,0,1,90,0,0,1,0,0,0,0.0,0,0,0,0,14,0,0,8.9,0,0,0,5,3,8,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,0,0.0,25,15,27,42,8.9,0,1,65,0,0,0,Fabrizio Bagheria,Modena,945414,2706
171,88,29.43,538,172,45.14,1002,688,1690,80.9,11,22.45,38,37,15,0,0,0,132,14,6,10,7,50,37,0,0,5,25,104,0,0,9.56,8.55,28,2,15.87,1,10,25,32,28,4,8,2,,111,62.71,0,0,1,399,14,129,0,37,3183,0,18,0,4,5,0,100.0,0,5,0,0,671,6,0,7.7,0,10,0,0,0,0,0,0,318.3,22.22,9,21,42,26,27,9,45.0,0,24,20,83.33,125,358,20,299,122,53.98,381,1345,744,2089,284.9,63,8,2799,80,7,0,Giacomo Calò,Frosinone,839487,2801
1,0,0.0,4,2,50.0,6,12,18,78.26,2,100.0,0,1,0,0,0,0,4,0,0,0,0,5,1,0,0,0,1,2,0,0,0.01,,1,0,0.0,0,0,0,1,1,0,0,0,,6,75.0,0,0,0,5,0,0,0,1,78,0,1,0,0,0,0,0.0,0,0,0,0,6,0,0,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,0,4,2,50.0,0,3,1,0,8,80.0,4,9,14,23,7.5,0,0,43,1,0,0,Lorenzo Tosto,Empoli,1466118,2705
0,0,0.0,3,7,43.75,5,9,14,60.87,0,0.0,0,1,0,0,0,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,7,0,0,2,2,0,0,0,0.1,0,0.0,0,0,0,9,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,9,0,1,7.5,0,0,1,4,1,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1,0,0,0,0.0,16,12,11,23,7.5,0,0,33,0,0,0,Marco Pissardo,Bari,891877,2712
140,0,0.0,65,269,43.11,163,1149,1312,78.38,4,80.0,1,38,0,0,0,0,309,0,0,0,16,40,38,0,0,0,0,1,2,1,0.36,,0,0,0.0,101,0,0,31,26,5,0,0,9.02,15,100.0,0,19,0,362,0,2,0,38,3420,0,0,0,0,0,0,0.0,1,0,0,0,370,0,13,7.43,0,0,19,80,24,105,0,13,0.0,0.0,0,0,0,0,0,0,0.0,18,0,0,0.0,2,243,0,0,19,95.0,624,445,1229,1674,282.2,0,3,2041,15,0,0,Filip Stanković,Venezia,986355,2688
69,0,0.0,99,316,42.93,230,550,780,64.73,11,91.67,1,33,0,0,0,0,303,0,0,0,14,16,33,0,0,0,1,4,0,1,0.34,,2,0,0.0,153,0,0,28,23,5,0,0,4.92,8,72.73,0,42,0,425,0,1,0,33,2890,0,0,0,0,0,2,0.0,5,0,2,0,439,0,2,7.41,0,0,18,47,33,81,1,10,0.0,0.0,0,0,0,0,0,0,0.0,17,0,0,0.0,1,126,0,0,19,82.61,736,585,620,1205,244.5,0,2,1509,11,1,0,Leandro Chichizola,Modena,80532,2706
64,21,21.43,259,92,70.77,563,501,1064,88.89,20,64.52,11,23,2,0,0,1,112,4,1,8,4,30,23,0,0,10,17,62,0,0,2.49,2.75,21,0,3.85,0,1,3,26,25,1,1,0,,126,71.19,0,0,0,133,19,31,0,20,1733,1,3,0,0,2,0,50.0,0,1,0,0,247,10,0,7.37,1,1,0,0,0,0,0,0,1733.0,0.0,14,3,23,6,12,13,72.22,0,36,19,52.78,31,97,18,98,146,70.19,130,676,521,1197,169.5,26,4,1588,77,7,1,Salvatore Esposito,Sampdoria,931267,2711
38,0,0.0,203,57,49.14,747,1008,1755,89.95,97,64.67,53,29,2,0,0,0,179,2,2,9,12,152,29,0,0,11,19,126,0,3,1.91,1.42,44,0,16.67,81,3,5,20,17,3,2,1,,83,53.21,1,0,0,196,43,14,1,28,2532,1,14,0,0,0,1,0.0,0,0,0,0,238,6,0,7.37,0,1,0,0,0,0,0,0,844.0,0.0,0,15,3,4,5,12,75.0,0,49,29,59.18,14,57,16,1,180,58.82,116,868,1083,1951,213.7,18,6,2375,23,7,0,Michael Svoboda,Venezia,888340,2688
38,9,25.0,207,33,62.26,339,164,503,83.0,0,0.0,3,13,3,0,0,0,45,2,2,5,1,0,13,0,0,16,5,51,0,1,2.53,3.98,1,1,16.13,0,5,8,13,12,1,3,2,,52,52.0,0,0,0,103,1,30,0,11,949,4,0,0,0,1,0,100.0,0,1,0,0,211,9,0,7.33,0,5,0,0,0,0,0,0,189.8,25.0,4,13,18,10,16,21,44.68,0,5,3,60.0,30,73,47,36,52,50.49,53,432,174,606,95.3,31,4,860,26,2,0,Lorenzo Insigne,Pescara,106258,7935
45,0,0.0,58,222,30.29,149,432,581,52.82,10,90.91,1,38,0,0,0,0,394,0,0,0,14,33,38,1,0,0,0,3,0,3,0.12,,2,0,0.0,240,0,0,34,29,5,0,0,13.02,8,80.0,0,40,0,519,0,2,0,38,3411,0,0,0,0,0,2,0.0,6,0,3,0,531,0,14,7.33,0,0,29,95,44,140,1,30,0.0,0.0,0,0,0,0,0,0,0.0,28,1,0,0.0,2,104,0,0,18,85.71,733,600,500,1100,278.4,0,5,1570,8,3,0,Lorenzo Palmisani,Frosinone,1134623,2801
