accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
4,0,0.0,1,6,27.27,3,21,24,60.0,0,0.0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,8,0,0,2,2,0,0,0,1.34,0,0.0,0,1,0,16,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8.2,0,0,1,5,1,6,0,2,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,10,0,0,0,0.0,22,15,25,40,8.2,0,0,50,0,0,0,Duke Verduin,PEC Zwolle,1394059,2971
79,60,31.09,691,126,58.6,1132,559,1691,86.23,24,68.57,11,30,14,0,0,0,128,27,1,9,3,54,30,0,0,14,33,86,2,0,9.69,2.34,17,1,23.53,0,8,22,33,25,8,3,5,,85,53.13,0,0,0,270,26,95,1,27,2370,0,12,0,2,0,0,0,0,0,0,0,459,12,0,7.89,0,7,0,0,0,0,0,0,296.25,33.33,3,10,24,11,14,13,54.17,0,58,38,65.52,93,157,24,193,109,55.9,215,1354,607,1961,236.6,34,12,2509,14,4,0,Joey Veerman,PSV Eindhoven,850816,2952
53,17,19.77,416,52,68.42,629,282,911,79.98,12,36.36,21,32,12,0,0,0,120,14,8,14,4,7,32,0,0,51,23,210,0,2,9.27,10.93,19,0,21.25,0,17,29,38,35,3,13,4,,156,45.22,0,0,4,228,12,78,5,30,2686,8,3,0,0,0,0,0,0,0,0,0,543,24,0,7.78,0,12,0,0,0,0,0,0,158.0,0.0,2,51,29,27,39,85,46.7,0,27,18,66.67,78,92,182,86,168,44.44,76,808,331,1139,249.1,80,10,1837,44,2,0,Mika Godts,AFC Ajax,1149146,2953
1,0,0.0,0,5,71.43,2,43,45,95.74,0,0.0,0,1,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,2,0,0,1,0,1,0,0,-0.26,0,0.0,0,1,0,2,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7.7,0,0,1,3,0,3,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,3,0,0,0,0.0,7,4,43,47,7.7,0,0,56,0,0,0,Nick Olij,PSV Eindhoven,227192,2952
2,0,0.0,3,16,47.06,9,17,26,56.52,0,0.0,0,2,0,0,0,0,13,0,0,0,0,1,2,0,0,0,0,0,0,0,0.01,,0,0,0.0,3,0,0,2,2,0,0,0,0.94,1,100.0,0,1,0,20,0,0,0,1,101,0,0,0,0,0,0,0,0,0,0,0,20,0,1,7.7,0,0,0,8,2,10,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,4,0,0,1,100.0,34,24,22,46,15.4,0,0,64,1,0,0,Daan Reiziger,SC Telstar,916942,2972
0,0,0.0,4,0,0.0,6,5,11,64.71,2,40.0,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,5,0,0,0.6,0.37,0,0,100.0,0,2,2,3,3,0,2,0,,2,50.0,0,0,0,6,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7.55,0,1,0,0,0,0,0,0,18.5,0.0,0,2,0,0,2,1,100.0,0,1,1,100.0,0,1,1,0,4,44.44,1,11,6,17,15.1,2,1,29,0,1,0,Shaqueel van Persie,Feyenoord,1470002,2959
191,0,0.0,104,380,45.51,242,677,919,66.21,4,66.67,2,33,0,0,0,0,319,0,0,0,5,23,33,1,0,0,0,2,2,1,0.21,0.79,0,0,100.0,161,1,1,53,46,7,1,0,8.9,8,100.0,0,12,0,469,0,0,0,33,2959,0,0,0,0,1,0,100,4,1,0,0,483,0,8,7.53,0,1,12,111,30,143,0,22,2959.0,0.0,0,1,0,0,1,2,100.0,12,1,1,100.0,0,278,2,0,12,85.71,835,627,761,1388,248.6,1,3,1708,5,3,0,Ronald Koeman Jr,SC Telstar,268701,2972
115,0,0.0,115,409,45.49,313,654,967,66.05,8,100.0,0,34,0,0,0,0,346,1,0,0,11,26,34,0,0,0,0,1,2,0,0.37,0.03,1,0,0.0,222,0,0,62,52,10,0,0,1.94,7,87.5,0,29,0,497,0,2,0,34,3060,0,0,0,0,0,0,0,3,0,2,0,508,0,7,7.46,0,0,18,93,45,139,0,38,0.0,0.0,1,0,1,1,0,0,0.0,18,0,0,0.0,2,198,0,0,15,93.75,899,747,717,1464,253.5,1,5,1855,6,1,0,Joël Drommel,Sparta Rotterdam,610396,2960
34,53,24.77,322,28,44.44,477,125,602,73.96,7,25.93,20,30,6,0,0,0,131,16,4,24,5,10,30,0,1,34,29,171,1,1,11.14,6.78,15,0,14.29,0,11,17,37,28,9,11,0,,137,47.57,0,0,3,212,8,71,11,30,2553,3,0,0,1,0,0,0,0,0,0,0,583,31,0,7.45,1,0,0,0,0,0,0,0,232.09,0.0,1,54,23,21,32,77,50.33,0,25,12,48.0,70,76,153,214,144,45.71,63,657,157,814,223.6,77,5,1564,35,4,0,Anis Hadj Moussa,Feyenoord,1218066,2959
6,0,0.0,38,7,77.78,69,55,124,82.67,9,50.0,9,8,0,0,0,0,17,0,1,2,0,2,8,0,0,1,5,22,0,0,0.81,2.47,6,0,35.71,0,5,5,7,6,1,5,0,,27,67.5,0,0,0,26,4,7,4,7,547,1,0,0,0,0,0,0,0,0,0,0,43,1,0,7.44,0,1,0,0,0,0,0,0,109.4,0.0,0,13,1,4,8,3,75.0,0,14,8,57.14,7,6,4,1,36,62.07,9,86,64,150,59.5,14,2,232,10,1,0,Victor Jensen,FC Utrecht,856648,2948
