accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
12,4,16.67,301,4,44.44,396,104,496,73.16,36,50.7,35,33,7,0,0,0,75,11,23,28,12,20,33,0,0,54,4,182,0,0,6.88,30.95,24,2,28.06,0,39,46,26,22,4,36,3,,146,49.83,0,0,4,182,6,63,3,31,2804,9,,0,1,12,0,100.0,0,12,0,4,422,31,0,8.0,0,36,0,0,0,0,0,0,71.9,28.57,7,119,20,31,80,60,47.62,0,9,5,55.56,62,19,126,24,182,50.0,9,585,117,678,264.1,139,16,1320,77,4,0,Viktor Gyökeres,Sporting CP,804508,3001
2,0,0.0,7,12,48.0,10,8,18,58.06,1,100.0,0,1,0,0,0,0,14,0,0,0,1,2,1,0,0,0,0,0,0,0,0.01,,0,0,0.0,6,0,0,0,0,0,0,0,0.35,0,0.0,0,3,0,13,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,13,0,1,7.7,0,0,1,1,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,3,0,0,1,100.0,25,20,11,31,7.7,0,1,45,0,1,0,Luiz Júnior,Famalicão,1066603,49531
49,21,26.92,422,44,77.19,669,173,821,82.68,4,36.36,7,34,14,0,0,0,100,18,10,39,6,27,34,0,0,43,17,157,0,1,7.59,9.15,24,0,8.49,0,9,23,24,21,3,7,2,,178,54.27,0,0,3,172,13,76,9,34,2952,0,,0,1,0,0,0.0,0,0,0,1,424,33,0,7.62,0,0,0,0,0,0,0,0,328.0,0.0,3,54,52,32,35,70,51.47,0,51,29,56.86,75,88,136,78,182,53.69,57,869,202,993,259.2,106,12,1690,57,1,0,Francisco Trincão,Sporting CP,830431,3001
1,0,0.0,1,5,50.0,1,21,22,81.48,0,0.0,0,2,0,0,0,0,16,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,10,0,0,0,0,0,0,0,1.02,0,0.0,0,1,0,5,0,0,0,2,180,0,,0,0,0,0,0.0,1,0,1,0,5,0,0,7.6,0,0,0,2,3,5,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,10,4,23,27,15.2,0,1,48,0,0,0,Samuel Soares,Benfica,983550,3006
1,0,0.0,5,18,34.62,13,18,31,46.97,1,100.0,0,2,0,0,0,0,21,0,0,0,1,3,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,19,0,0,3,3,0,0,0,-0.45,1,100.0,0,4,0,35,0,0,0,2,180,0,,0,0,0,0,0.0,1,0,1,0,35,0,1,7.5,0,0,2,7,0,7,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,1,0,0,2,100.0,52,45,21,66,15.0,0,0,88,1,1,0,Marko Gudžulić,CF Estrela Amadora,1147582,3035
98,48,34.78,586,128,62.75,1061,584,1597,86.14,6,30.0,14,33,7,0,0,0,184,12,2,19,6,8,33,0,0,22,20,112,0,3,7.39,4.67,34,0,11.29,0,7,14,25,21,4,3,4,,94,48.96,0,0,1,257,13,77,0,30,2646,3,,0,1,2,0,100.0,0,2,0,0,446,18,0,7.5,0,7,0,0,0,0,0,0,378.0,0.0,14,11,51,19,24,11,33.33,0,41,27,65.85,76,175,33,138,100,47.17,204,1375,617,1854,247.4,62,10,2352,43,8,0,Orkun Kökçü,Benfica,907461,3006
8,0,0.0,11,78,38.05,52,122,174,57.62,1,50.0,1,12,0,0,0,0,122,0,0,0,3,12,12,0,0,0,0,1,1,0,0.02,,0,0,0.0,120,0,0,22,19,3,0,0,1.97,3,100.0,0,10,0,128,0,0,0,12,1080,0,,0,0,0,0,0.0,3,0,0,0,132,0,5,7.44,0,0,6,44,11,55,0,12,0.0,0.0,0,0,0,0,0,0,0.0,6,0,0,0.0,0,11,0,0,4,80.0,205,167,135,302,89.3,0,3,454,2,1,0,Tomáš Vaclík,Boavista,23715,2995
59,0,0.0,147,131,61.21,583,1220,1803,89.52,127,75.6,41,31,2,0,0,0,146,2,3,5,13,108,31,0,0,2,14,86,2,3,1.97,3.82,26,0,21.43,33,6,8,25,21,4,6,0,,84,65.12,5,0,0,211,60,10,0,30,2709,1,,0,0,0,2,0.0,0,0,0,1,239,2,0,7.44,0,1,0,0,0,0,0,0,451.5,0.0,0,26,2,11,12,9,69.23,0,53,31,58.49,10,100,13,2,211,71.04,214,742,1274,2014,230.6,28,8,2418,25,4,0,Nicolás Otamendi,Benfica,74915,3006
17,14,36.84,131,12,66.67,213,63,262,80.12,2,18.18,9,14,4,0,0,0,32,9,4,19,2,0,14,0,0,15,8,67,0,0,3.72,4.03,11,0,13.16,0,5,9,5,5,0,4,1,,34,36.96,1,0,0,65,5,42,0,12,882,2,,0,0,0,0,0.0,0,0,0,0,160,8,0,7.43,0,4,0,0,0,0,0,0,176.4,0.0,1,23,15,10,9,11,31.43,0,13,4,30.77,42,30,35,38,36,34.95,18,298,67,327,104.0,38,5,556,10,3,0,Pedro Gonçalves,Sporting CP,895764,3001
135,46,29.49,397,167,73.25,891,729,1574,87.98,13,43.33,17,30,4,0,0,0,158,5,1,5,5,26,30,0,1,13,14,89,1,3,4.53,3.48,33,1,18.52,0,5,9,26,21,5,3,2,,115,61.5,0,0,3,215,28,51,0,27,2338,1,,0,0,3,0,100.0,0,3,0,0,399,13,0,7.43,1,5,0,0,0,0,0,0,467.6,12.5,8,4,23,9,13,23,58.97,0,46,26,56.52,51,196,39,156,128,58.99,228,1162,783,1789,222.8,27,4,2294,46,6,0,Tiago Silva,Vitória SC,252095,3009
