accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
3,0,0.0,3,19,54.29,13,12,25,60.98,0,0.0,0,1,0,0,0,0,10,0,0,0,1,2,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,11,0,0,0,0,0,0,0,1.17,0,0.0,0,1,0,16,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,16,0,0,8.4,0,0,0,3,2,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,4,0,0,0,0.0,35,27,14,41,8.4,0,1,53,0,0,0,Aitor Fernández,Osasuna,99516,2820
8,0,0.0,11,63,38.41,40,79,119,53.6,1,100.0,0,7,0,0,0,0,50,0,0,0,2,9,7,0,0,0,0,0,0,0,0.02,,0,0,0.0,52,0,0,10,9,1,0,0,3.61,1,100.0,0,8,0,103,0,0,0,7,630,0,,0,0,0,0,0.0,1,0,0,0,103,0,3,7.83,0,0,5,19,20,40,0,14,0.0,0.0,0,0,0,0,0,1,100.0,5,0,0,0.0,0,12,1,0,2,100.0,164,126,96,222,54.8,0,3,299,1,0,0,Leo Román,Mallorca,1131909,2826
62,53,24.65,511,46,58.97,838,209,994,79.46,9,60.0,6,36,9,0,0,0,94,26,20,27,7,22,36,0,0,29,20,109,0,0,10.11,19.38,11,0,15.79,0,18,27,31,29,2,16,2,,125,54.82,1,0,5,257,11,92,13,32,2844,10,,0,1,2,0,100.0,0,2,0,2,563,25,0,7.8,0,4,0,0,0,0,0,0,158.0,0.0,18,66,48,44,43,52,54.17,0,36,22,61.11,91,109,96,215,134,55.14,78,1224,242,1251,280.7,114,14,1993,37,4,0,Raphinha,FC Barcelona,831005,2817
45,22,20.37,633,30,48.39,980,158,1116,78.93,1,25.0,3,35,13,0,0,0,123,28,14,46,10,3,35,0,0,49,22,230,0,0,11.61,9.81,30,0,6.25,0,9,22,28,27,1,4,5,,263,53.67,0,0,5,298,16,65,8,31,2861,13,,0,1,0,0,0.0,0,0,0,2,691,35,0,7.79,0,1,0,0,0,0,0,0,317.89,0.0,0,77,67,51,47,161,55.71,0,42,28,66.67,64,97,289,108,264,53.44,62,1330,192,1414,272.8,144,11,2361,60,3,0,Lamine Yamal,FC Barcelona,1402912,2817
49,6,17.14,573,45,78.95,800,139,933,85.28,4,40.0,6,34,3,0,0,2,36,15,29,39,5,0,34,0,1,49,4,172,1,0,6.59,25.93,25,1,19.25,0,31,34,32,30,2,26,5,,131,44.11,0,0,4,161,1,52,4,34,2915,44,,0,1,9,0,77.78,0,7,0,3,434,16,0,7.7,1,27,0,0,0,0,0,0,94.03,33.33,3,116,45,37,85,83,47.7,0,8,5,62.5,51,70,174,35,135,43.97,57,976,153,1094,261.7,161,12,1734,40,3,0,Kylian Mbappé,Real Madrid,826643,2829
0,0,0.0,1,0,0.0,7,21,28,68.29,1,100.0,0,1,0,0,0,0,3,0,0,0,1,4,1,0,0,0,1,1,0,0,0.0,,0,0,0.0,0,0,0,0,0,0,0,0,,7,87.5,0,0,0,13,3,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,17,0,0,7.6,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,7,4,57.14,0,1,0,0,8,88.89,2,17,24,41,7.6,0,0,72,0,0,0,Sergio Arribas,Real Betis,1119678,2816
4,0,0.0,0,9,50.0,3,32,35,77.78,0,0.0,0,2,0,0,0,0,12,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,15,0,0,3,3,0,0,0,0.89,0,0.0,0,1,0,10,0,0,0,2,180,0,,0,0,0,0,0.0,1,0,1,0,11,0,1,7.6,0,0,2,6,3,9,0,3,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,5,0,0,0,0.0,18,11,34,45,15.2,0,0,69,0,0,0,Unai Marrero,Real Sociedad,1094782,2824
132,10,17.24,918,145,70.05,1718,671,2379,89.03,7,53.85,6,37,5,0,0,0,254,14,2,6,6,12,37,0,0,35,46,116,0,1,9.0,2.18,10,0,16.0,0,4,9,30,28,2,3,1,,152,58.02,0,0,1,293,26,70,2,35,2892,2,,0,0,0,0,0.0,0,0,0,0,449,28,0,7.59,0,2,0,0,0,0,0,0,723.0,0.0,0,11,14,8,11,40,66.67,0,61,34,55.74,70,220,60,58,159,57.82,207,2016,714,2672,281.0,25,6,3191,51,3,0,Pedri,FC Barcelona,992587,2817
70,27,29.35,453,68,71.58,708,244,925,86.21,13,37.14,22,22,8,0,0,1,71,5,3,21,2,6,22,0,0,27,21,118,0,0,3.86,8.62,23,0,20.45,0,9,17,24,21,3,9,0,,91,48.66,1,0,0,148,11,61,0,17,1551,4,,0,0,6,0,83.33,0,5,0,0,327,14,0,7.54,0,8,0,0,0,0,0,0,172.33,0.0,4,22,22,8,15,27,49.09,0,20,13,65.0,61,110,55,92,104,46.85,95,893,272,1073,165.8,44,6,1494,44,5,0,Isco,Real Betis,103417,2816
77,69,33.33,351,70,56.45,610,231,772,74.02,17,45.95,20,32,9,0,0,1,140,21,6,21,5,14,32,0,0,32,29,148,0,2,12.58,7.18,43,0,10.0,0,7,16,36,27,9,7,0,,95,42.6,0,0,2,271,22,98,3,30,2602,5,,0,3,1,0,0.0,0,0,0,0,532,16,0,7.48,0,4,0,0,0,0,0,0,371.71,0.0,8,35,35,31,18,21,43.75,0,28,15,53.57,95,148,48,207,112,43.08,124,960,290,1043,239.5,70,9,1675,47,9,0,Alex Baena,Villarreal,910031,2819
98,2,7.69,555,142,71.36,1188,784,1970,91.12,27,62.79,16,36,4,0,0,0,174,7,1,14,11,51,36,0,0,1,14,52,1,0,3.16,2.66,12,1,10.53,3,6,10,31,30,1,1,5,,81,69.23,0,0,0,192,55,39,0,34,3032,1,,0,0,0,0,0.0,0,0,0,0,273,19,0,7.47,0,6,0,0,0,0,0,0,505.33,20.0,5,11,46,21,22,16,61.54,0,50,30,60.0,39,129,26,26,108,67.5,199,1354,834,2162,269.0,57,7,2603,15,4,0,Federico Valverde,Real Madrid,831808,2829
45,1,5.56,489,67,73.63,861,461,1321,87.54,30,48.39,32,31,8,0,1,0,97,4,12,15,4,21,31,0,1,43,14,148,0,1,4.5,11.5,33,0,14.52,0,9,17,33,30,3,9,0,,166,58.87,2,0,2,188,28,42,2,29,2494,9,,0,0,2,0,50.0,0,1,0,1,342,12,0,7.45,1,5,0,0,0,0,0,0,277.11,0.0,0,45,17,24,23,41,59.42,0,61,33,54.1,42,81,69,18,196,56.98,91,1046,481,1509,231.1,62,8,2042,64,5,0,Jude Bellingham,Real Madrid,991011,2829
36,24,25.26,321,45,69.23,539,217,732,84.82,5,31.25,11,25,3,0,0,1,76,7,2,3,1,2,25,0,0,31,7,86,0,1,5.2,4.77,13,1,23.53,0,8,11,20,18,2,5,3,,117,60.94,0,0,0,131,5,43,8,15,1455,0,,0,0,3,0,66.67,0,2,0,0,304,11,0,7.41,0,0,0,0,0,0,0,0,181.88,25.0,4,16,18,12,19,21,43.75,0,34,22,64.71,43,64,48,95,122,58.65,65,712,246,863,185.3,34,3,1285,63,4,0,Giovani Lo Celso,Real Betis,798835,2816
19,11,27.5,312,16,53.33,475,130,594,84.02,5,26.32,14,17,2,0,0,0,73,8,2,13,2,6,17,0,0,20,14,96,0,1,2.9,2.87,15,0,11.63,0,5,7,20,18,2,5,0,,76,48.1,0,0,0,113,10,38,4,15,1364,1,,0,1,0,0,0.0,0,0,0,1,257,13,0,7.41,0,1,0,0,0,0,0,0,272.8,0.0,1,23,20,13,17,24,42.11,0,25,11,44.0,37,31,57,40,81,45.76,30,591,156,707,126.0,43,2,1051,27,2,0,Antony,Real Betis,958380,2816
