accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
5,0,0.0,14,29,34.52,23,45,68,54.4,2,66.67,1,4,0,0,0,0,49,0,0,0,1,4,4,0,0,0,1,2,0,0,,,0,0,0.0,12,0,0,7,7,0,0,0,,0,0.0,0,4,0,57,0,0,0,4,360,0,0,0,0,0,0,0.0,0,0,0,0,57,0,1,7.83,0,0,2,17,6,23,0,2,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,10,0,0,2,50.0,84,69,56,125,31.3,0,1,190,0,1,0,Daní Martin,Huesca,1525807,24265
1,0,0.0,1,1,33.33,4,5,9,69.23,1,100.0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,1,2,0,0,,,1,0,0.0,0,0,0,0,0,0,0,0,,3,60.0,0,0,0,4,0,0,0,1,83,0,2,0,0,0,0,0.0,0,0,0,0,6,0,0,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,1,50.0,0,3,0,0,4,66.67,3,7,6,13,7.7,0,0,29,1,0,0,Djibril Gueye,Leganés,2310932,2845
136,47,25.82,778,120,55.05,1166,460,1626,76.92,9,42.86,12,41,20,0,0,0,188,42,6,13,1,10,41,0,0,61,53,206,0,0,,,41,0,16.98,0,9,29,49,45,4,8,1,,163,45.66,0,0,1,488,23,154,0,39,3275,5,0,0,3,0,1,0.0,0,0,0,0,815,37,0,7.62,0,9,0,0,0,0,0,0,363.89,0.0,0,34,19,12,28,52,55.32,0,59,36,61.02,151,254,94,182,172,45.5,218,1598,516,2114,312.4,53,12,2895,52,9,0,Iñigo Vicente,Real Racing Club,605674,2835
33,34,25.76,627,48,64.0,981,515,1496,85.98,23,46.94,26,42,7,0,0,0,162,11,14,18,1,12,42,0,0,42,18,143,0,0,,,21,0,21.37,0,25,32,52,44,8,23,2,,130,52.63,2,0,6,244,14,94,18,41,3464,3,2,0,0,10,0,100.0,0,10,0,1,533,37,0,7.44,0,5,0,0,0,0,0,0,138.56,0.0,4,77,40,46,53,45,53.57,0,43,23,53.49,94,68,84,132,153,51.69,75,1198,542,1740,312.3,117,7,2462,42,3,0,Sergio Arribas,Almería,997203,2858
10,0,0.0,11,20,62.5,41,86,127,86.39,1,50.0,1,2,0,0,0,0,6,0,0,0,1,7,2,0,0,1,0,5,0,0,,,3,0,0.0,0,0,0,1,1,0,0,0,,9,69.23,0,0,0,20,5,3,0,2,180,0,1,0,0,0,0,0.0,0,0,0,0,22,0,0,7.4,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,1,1,0,0.0,0,3,3,100.0,3,14,0,1,10,66.67,32,55,92,147,14.8,2,1,177,6,1,0,Álex Pastor,Málaga CF,928825,2830
36,0,0.0,20,121,37.93,65,274,339,62.78,4,80.0,1,22,0,0,0,0,201,0,0,0,8,25,22,0,0,0,0,2,1,0,,,1,0,0.0,182,0,0,26,24,2,0,0,,6,85.71,0,9,0,201,0,0,0,22,1980,0,0,0,0,0,1,0.0,2,0,0,0,207,0,18,7.37,0,0,9,55,21,78,0,14,0.0,0.0,0,0,0,0,0,1,100.0,9,0,0,0.0,0,49,1,0,10,83.33,319,215,325,540,162.2,0,2,783,7,0,0,Raúl Lizoain,Albacete Balompié,129865,2848
15,23,23.23,131,15,42.86,194,106,300,78.13,0,0.0,9,21,3,0,0,1,88,16,4,16,0,15,21,0,0,42,20,145,0,0,,,40,0,11.86,0,7,10,33,28,5,6,1,,112,45.16,0,0,2,84,5,40,4,21,1859,3,3,0,0,1,0,0.0,0,0,0,0,312,14,0,7.31,0,3,0,0,0,0,0,0,265.57,0.0,7,29,30,20,23,46,54.12,0,16,9,56.25,40,38,85,99,112,43.58,35,264,120,384,153.5,59,3,899,50,7,0,Javier Hernández,Mirandés,1514913,35092
34,13,20.0,381,49,76.56,597,242,839,81.69,8,33.33,16,39,3,0,0,0,218,8,5,25,7,14,39,0,0,61,60,303,0,1,,,28,0,11.11,0,10,13,41,37,4,10,0,,292,50.43,1,0,1,188,26,51,7,38,3259,2,2,0,0,0,0,0.0,0,0,0,0,562,29,0,7.3,0,2,0,0,0,0,0,0,325.9,0.0,4,44,46,29,36,110,44.18,0,117,69,58.97,51,52,249,65,300,49.75,64,738,289,1027,284.6,90,3,2008,66,4,0,David Larrubia,Málaga CF,1002405,2830
17,53,29.94,382,30,43.48,590,149,739,72.03,4,33.33,8,41,9,0,0,0,121,22,14,33,3,15,41,0,0,77,42,214,0,2,,,29,0,18.85,0,23,32,53,48,5,21,2,,139,40.29,0,0,3,287,29,90,21,41,3453,24,0,0,3,4,0,100.0,0,4,0,0,690,34,0,7.3,0,2,0,0,0,0,0,0,150.13,0.0,2,93,29,37,52,49,44.55,0,28,18,64.29,87,48,110,177,143,40.06,69,846,180,1026,299.1,122,8,1929,62,8,0,Andrés Martín,Real Racing Club,922939,2835
16,53,21.03,609,34,55.74,846,256,1102,80.73,7,25.93,20,39,13,0,0,0,200,16,3,7,3,14,39,0,0,66,38,225,0,0,,,46,0,6.25,0,3,16,46,42,4,3,0,,212,50.84,0,0,2,263,20,117,0,38,3157,5,1,0,1,3,0,100.0,0,3,0,0,708,29,0,7.28,0,3,0,0,0,0,0,0,1052.33,0.0,0,31,17,23,18,94,61.04,0,74,39,52.7,116,38,154,252,219,49.32,61,1079,286,1365,283.8,48,3,2316,44,10,0,Cristian Carracedo,Córdoba,813737,2850
