accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
5,0,0.0,1,9,47.37,4,21,25,69.44,2,100.0,0,2,0,0,0,0,14,0,0,0,1,2,1,0,1,0,0,0,0,0,0.0,,0,0,0.0,8,0,0,0,0,0,0,0,1.5,0,0.0,0,2,0,11,0,0,0,1,91,0,,0,0,0,0,0.0,0,0,0,0,13,0,0,8.5,1,0,1,3,2,5,0,2,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,7,0,0,2,100.0,19,7,29,36,8.5,0,1,58,1,0,0,Günay Güvenç,Galatasaray,103457,3061,GK
0,0,0.0,0,2,50.0,0,29,29,93.55,0,0.0,0,1,0,0,0,0,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,7,0,0,0,0,0,0,0,1.54,0,0.0,0,1,0,2,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,2,0,0,8.2,0,0,1,3,2,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0.0,4,1,30,31,8.2,0,1,45,0,0,0,Emir Dadük,Hatayspor,1618350,3091,GK
0,0,0.0,0,6,30.0,1,15,16,50.0,1,100.0,0,1,0,0,0,0,11,0,0,0,0,2,1,0,0,0,0,0,0,1,0.0,,0,0,0.0,12,0,0,5,5,0,0,0,-1.34,0,0.0,0,0,0,16,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,16,0,1,7.8,0,0,0,8,0,8,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,1,100.0,20,12,20,32,7.8,0,0,54,0,0,0,Demir Sarıcalı,Hatayspor,1548585,3091,GK
7,5,31.25,120,7,50.0,200,33,228,66.86,89,60.14,59,29,5,0,0,0,48,11,25,24,6,24,29,0,0,35,1,136,0,0,3.1,23.8,29,0,19.12,0,26,31,18,18,0,25,1,,75,49.34,8,0,3,113,9,32,1,27,2292,40,,0,0,6,0,100.0,0,6,0,3,234,20,0,7.72,0,17,0,0,0,0,0,0,88.15,0.0,0,117,19,56,56,23,54.76,0,7,6,85.71,32,19,42,16,164,54.67,14,315,42,341,223.9,136,7,765,48,4,0,Victor Osimhen,Galatasaray,822471,3061,FW
0,1,16.67,19,3,50.0,27,14,40,75.47,4,66.67,2,3,2,0,0,0,9,2,1,0,0,1,3,0,0,3,1,10,0,0,0.38,1.12,0,0,40.0,0,2,4,1,1,0,2,0,,10,55.56,0,0,0,13,0,5,0,2,174,1,,0,0,0,0,0.0,0,0,0,0,31,1,0,7.7,0,2,0,0,0,0,0,0,87.0,0.0,0,3,2,2,3,6,60.0,0,1,0,0.0,5,2,10,6,14,58.33,6,42,17,53,23.1,5,0,95,3,0,0,Kerem Aktürkoğlu,Galatasaray,903324,3061,MF
0,0,0.0,0,3,50.0,1,9,10,76.92,0,0.0,0,1,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,6,0,0,2,2,0,0,0,-0.07,0,0.0,0,2,0,3,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,3,0,0,7.7,0,0,1,2,3,5,0,4,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0.0,6,2,11,13,7.7,0,0,28,0,0,0,Halil Bağcı,Gaziantep FK,1384655,5138,GK
59,62,38.99,400,32,54.24,653,191,782,79.39,14,35.9,25,35,13,0,0,0,80,21,6,10,5,13,35,0,0,52,7,117,0,0,10.18,9.71,22,0,26.19,0,11,24,28,25,3,10,1,,81,46.82,0,0,2,203,15,85,8,28,2494,12,,0,1,3,0,100.0,0,3,0,0,440,20,0,7.52,0,3,0,0,0,0,0,0,226.73,0.0,4,32,10,11,21,13,52.0,0,30,15,50.0,84,107,25,159,95,44.81,59,928,216,985,263.2,42,9,1543,38,2,0,Dušan Tadić,Fenerbahçe,38560,3052,MF
107,46,26.9,483,120,59.11,816,336,1106,77.18,17,36.96,29,34,8,0,0,0,151,17,2,10,2,22,34,0,0,44,38,180,0,3,7.49,8.73,50,0,13.24,0,9,17,57,49,8,9,0,,156,50.81,1,0,1,327,16,96,8,33,2897,2,,0,2,7,0,100.0,0,7,0,0,591,25,0,7.5,0,0,0,0,0,0,0,0,321.89,0.0,6,26,42,34,24,23,52.27,0,71,37,52.11,94,199,44,171,173,49.01,203,1213,391,1433,255.0,68,8,2096,62,5,0,Haris Hajradinović,Kasımpaşa,254979,6063,MF
1,0,0.0,4,0,0.0,8,51,59,93.65,0,0.0,1,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,2,0,0,0.02,,1,0,0.0,0,0,0,0,0,0,0,0,,3,75.0,0,0,0,4,2,1,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,6,0,0,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,0,1,1,100.0,1,1,1,1,3,60.0,0,10,54,63,7.5,0,0,72,1,0,0,Batuhan Yavuz,Alanyaspor,1195735,6362,DF
13,7,28.0,258,11,45.83,389,78,460,70.66,61,35.26,112,29,9,0,0,1,93,16,13,18,2,9,29,0,0,37,11,233,0,0,4.95,13.0,29,0,13.68,0,13,22,41,35,6,12,1,,88,42.11,1,0,6,191,7,46,2,28,2494,20,,0,1,6,0,83.33,0,5,0,1,405,34,0,7.46,0,10,0,0,0,0,0,0,191.85,0.0,4,73,22,36,41,44,46.81,0,23,16,69.57,45,29,94,25,149,39.01,24,576,100,651,216.4,95,6,1178,21,5,0,Rômulo,Göztepe,1133743,3054,FW
