accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
0,0,0.0,0,0,0.0,0,29,29,82.86,0,0.0,0,1,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,7,0,0,0,0,0,0,0,0.46,0,0.0,0,0,0,6,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,6,0,0,7.8,0,0,2,1,2,3,0,1,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0,0,0,0,0.0,5,5,30,35,7.8,0,0,40,0,0,0,Devis Vásquez,Beşiktaş JK,925285,3050
0,0,0.0,2,0,0.0,2,6,8,57.14,0,0.0,4,2,0,0,0,0,1,0,1,0,0,1,2,0,0,2,0,11,0,0,0.01,0.33,4,0,66.67,0,2,2,2,2,0,1,1,,6,46.15,0,0,0,6,0,0,2,1,90,0,0,0,0,0,0,0.0,0,0,0,0,13,0,0,7.75,0,0,0,0,0,0,0,0,45.0,0.0,0,2,1,0,3,1,50.0,0,2,1,50.0,0,0,2,1,6,35.29,0,6,8,14,15.5,3,1,32,3,1,0,Bachir Gueye,Antalyaspor,2266453,3056
84,51,34.0,593,76,62.3,928,391,1319,85.59,9,34.62,17,30,8,0,0,0,118,16,1,35,6,18,30,0,2,27,13,96,0,0,9.03,7.42,23,1,8.99,0,8,16,30,23,7,6,2,,103,56.59,0,0,4,222,9,92,1,29,2486,1,3,0,2,2,0,100.0,0,2,0,1,423,25,0,7.55,2,7,0,0,0,0,0,0,310.75,6.67,15,31,58,22,32,18,52.94,0,33,17,51.52,90,142,34,150,112,53.85,122,1122,419,1541,226.6,89,10,2097,52,5,0,Orkun Kökçü,Beşiktaş JK,907461,3050
3,0,0.0,1,8,33.33,6,36,42,71.19,1,100.0,0,2,0,0,0,0,9,0,0,0,1,2,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,10,0,0,1,1,0,0,0,0.95,1,100.0,0,1,0,17,0,0,0,2,180,0,0,0,0,0,0,0.0,0,0,0,0,17,0,1,7.45,0,0,0,7,2,9,0,5,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,5,0,0,2,100.0,24,18,41,59,14.9,0,0,79,1,1,0,Tarık Çetin,Fenerbahçe,913985,3052
18,1,100.0,62,40,54.79,260,572,832,91.33,38,53.52,33,16,1,0,0,0,96,1,2,2,3,60,15,0,0,2,13,64,1,1,0.51,1.63,15,0,21.43,0,3,4,15,15,0,3,0,,62,66.67,3,0,0,79,23,5,0,15,1310,1,20,0,0,0,1,0.0,0,0,0,0,101,1,0,7.43,0,0,0,0,0,0,0,0,436.67,0.0,0,13,1,7,5,4,66.67,0,34,18,52.94,5,45,6,1,100,60.98,73,309,602,911,111.4,14,4,1162,25,0,0,Chibuike Nwaiwu,Trabzonspor,1481134,3051
33,3,13.64,217,52,74.29,449,373,822,90.53,11,52.38,10,15,1,0,0,0,88,2,0,5,3,24,15,0,0,7,11,46,0,0,1.93,0.73,12,0,8.33,0,1,2,19,19,0,1,0,,68,65.38,0,0,1,86,16,13,0,15,1319,1,9,0,0,0,0,0.0,0,0,0,0,136,9,0,7.4,0,1,0,0,0,0,0,0,1319.0,0.0,1,6,6,5,2,11,64.71,0,15,12,80.0,13,47,17,22,79,63.2,70,520,388,908,111.0,12,4,1143,42,4,0,Mattéo Guendouzi,Fenerbahçe,852404,3052
1,0,0.0,0,3,23.08,2,22,24,70.59,0,0.0,0,1,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,7,0,0,0,0,0,0,0,0.08,0,0.0,0,0,0,10,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,10,0,0,7.4,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,0,0.0,13,10,24,34,7.4,0,0,37,0,0,0,Deniz Dilmen,Başakşehir FK,1065508,3086
0,0,0.0,2,11,52.38,10,8,18,62.07,1,100.0,0,1,0,0,0,0,5,0,0,0,1,3,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,13,0,0,0,0,0,0,0,0.74,0,0.0,0,1,0,11,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,11,0,2,7.4,0,0,0,5,0,5,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,1,100.0,21,20,9,29,7.4,0,0,42,0,0,0,Ali Emre Yanar,Kasımpaşa,840297,6063
92,0,0.0,53,245,40.03,155,783,938,71.49,12,100.0,0,33,1,0,0,0,269,2,0,0,12,27,33,3,0,0,1,1,1,0,0.62,,0,0,0.0,169,0,1,35,27,8,0,0,5.3,6,85.71,0,24,0,374,0,2,0,33,2970,0,0,0,0,0,0,0.0,3,0,0,0,376,0,8,7.39,0,0,22,65,39,105,2,24,0.0,0.0,0,0,0,0,0,1,100.0,21,2,0,0.0,2,163,1,0,18,94.74,612,481,831,1312,244.0,0,5,1612,7,1,0,Muhammed Şengezer,Başakşehir FK,827418,3086
28,20,16.13,325,27,61.36,523,188,711,86.6,3,75.0,1,25,12,0,0,0,99,13,6,25,2,7,25,0,0,18,11,54,0,0,4.44,6.29,13,0,16.18,0,11,23,22,19,3,8,3,,38,41.76,0,0,4,110,10,51,9,22,1886,0,1,0,0,0,1,0.0,0,0,0,0,277,20,0,7.31,0,2,0,0,0,0,0,0,171.45,0.0,3,29,39,17,26,17,58.62,0,14,9,64.29,51,45,29,124,41,43.16,44,619,202,821,182.8,68,6,1194,7,2,0,Marco Asensio,Fenerbahçe,361004,3052
1,0,0.0,11,0,0.0,14,3,17,62.96,14,63.64,8,3,0,0,0,0,3,0,0,0,0,2,3,0,0,1,1,21,0,0,0.04,0.28,7,0,33.33,0,1,1,0,0,0,1,0,,12,48.0,0,0,0,10,0,1,1,1,124,0,0,0,0,0,0,0.0,0,0,0,0,26,2,0,7.3,0,0,0,0,0,0,0,0,124.0,0.0,0,3,0,1,2,3,42.86,0,4,4,100.0,1,1,7,2,26,55.32,1,24,3,27,21.9,3,0,65,5,0,0,Emersonn,Göztepe,1128844,3054
7,0,0.0,10,10,62.5,30,85,115,89.84,10,71.43,4,3,0,0,0,0,16,0,0,0,0,16,3,0,0,0,3,8,0,0,0.01,,2,0,0.0,4,0,0,7,7,0,0,0,,10,71.43,0,0,0,13,10,0,0,3,270,0,6,0,0,0,0,0.0,0,0,0,0,13,0,0,7.3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,100.0,0,7,4,57.14,0,11,2,0,20,71.43,16,39,89,128,21.9,0,1,173,1,1,0,Majid Hosseini,Kayserispor,359332,3072
37,0,0.0,26,98,33.68,57,268,325,61.67,7,77.78,2,14,0,0,0,0,123,1,0,0,4,24,14,4,0,0,1,4,3,1,0.06,,1,0,0.0,81,0,0,18,17,1,0,0,3.2,1,33.33,0,13,0,202,0,3,0,14,1260,0,0,0,0,0,0,0.0,2,0,1,0,208,0,17,7.29,0,0,7,27,24,51,0,14,0.0,0.0,0,0,0,0,0,0,0.0,7,0,0,0.0,3,61,1,0,8,66.67,291,221,306,527,102.1,0,1,686,2,3,0,Jankat Yılmaz,Eyüpspor,1210422,7040
53,49,28.16,275,62,56.88,398,243,641,78.94,5,31.25,11,30,7,0,0,0,87,14,3,25,0,5,30,0,0,22,24,108,0,0,6.85,4.11,23,0,5.56,0,4,11,23,21,2,3,1,,92,48.68,0,0,3,171,11,68,4,25,2182,4,2,0,1,0,0,0.0,0,0,0,1,399,15,0,7.24,0,0,0,0,0,0,0,0,545.5,0.0,6,29,43,29,18,38,56.72,0,31,21,67.74,67,101,67,174,97,47.32,109,546,266,812,217.2,72,6,1346,24,1,0,Oleksandr Zubkov,Trabzonspor,353282,3051
